Case ID	Sample ID	Sample Type	Aliquot ID	Experimental Strategy
ALCH-ABXE	ALCH-ABXE-TTP1-A	Primary Tumor	ALCH-ABXE-TTP1-A-1-0-R-A561-41	mRNA-Seq
ALCH-ABYN	ALCH-ABYN-TTP1-A	FFPE Scrolls	ALCH-ABYN-TTP1-A-1-0-R-A562-41	mRNA-Seq
ALCH-AC61	ALCH-AC61-TTP1-A	Primary Tumor	ALCH-AC61-TTP1-A-1-0-R-A562-41	mRNA-Seq
ALCH-AE4V	ALCH-AE4V-TTP1-A	Primary Tumor	ALCH-AE4V-TTP1-A-1-0-R-A606-41	mRNA-Seq
ALCH-AEBW	ALCH-AEBW-TTP1-A	Primary Tumor	ALCH-AEBW-TTP1-A-1-0-R-A619-41	mRNA-Seq
ALCH-B1YC	ALCH-B1YC-TTP1-A	FFPE Scrolls	ALCH-B1YC-TTP1-A-1-0-R-A77A-41	mRNA-Seq
ALCH-B1RM	ALCH-B1RM-TTP1-A	FFPE Scrolls	ALCH-B1RM-TTP1-A-1-0-R-A778-41	mRNA-Seq
ALCH-AD96	ALCH-AD96-TTR1-A	FFPE Recurrent	ALCH-AD96-TTR1-A-1-0-R-A708-41	mRNA-Seq
ALCH-ADOQ	ALCH-ADOQ-TTP1-A	Primary Tumor	ALCH-ADOQ-TTP1-A-1-0-R-A583-41	mRNA-Seq
ALCH-ABEK	ALCH-ABEK-TTP1-A	Primary Tumor	ALCH-ABEK-TTP1-A-1-0-R-A559-41	mRNA-Seq
ALCH-AETE	ALCH-AETE-TTP1-A	Primary Tumor	ALCH-AETE-TTP1-A-1-0-R-A659-41	mRNA-Seq
ALCH-ADHL	ALCH-ADHL-TTP1-A	Primary Tumor	ALCH-ADHL-TTP1-A-1-0-R-A566-41	mRNA-Seq
ALCH-B2Q4	ALCH-B2Q4-TTP1-A	Primary Tumor	ALCH-B2Q4-TTP1-A-1-0-R-A781-41	mRNA-Seq
ALCH-ACI9	ALCH-ACI9-TTP1-A	Primary Tumor	ALCH-ACI9-TTP1-A-1-0-R-A555-41	mRNA-Seq
ALCH-B2O8	ALCH-B2O8-TTP1-A	FFPE Scrolls	ALCH-B2O8-TTP1-A-1-0-R-A77L-41	mRNA-Seq
ALCH-AC3N	ALCH-AC3N-TTP1-A	Primary Tumor	ALCH-AC3N-TTP1-A-1-0-R-A562-41	mRNA-Seq
ALCH-ABYN	ALCH-ABYN-TTR1-A	FFPE Recurrent	ALCH-ABYN-TTR1-A-1-0-R-A558-41	mRNA-Seq
ALCH-AF1G	ALCH-AF1G-TTP1-A	Primary Tumor	ALCH-AF1G-TTP1-A-1-0-R-A659-41	mRNA-Seq
ALCH-B1J3	ALCH-B1J3-TTP1-A	Primary Tumor	ALCH-B1J3-TTP1-A-1-0-R-A707-41	mRNA-Seq
ALCH-B1TU	ALCH-B1TU-TTP1-A	Primary Tumor	ALCH-B1TU-TTP1-A-1-0-R-A778-41	mRNA-Seq
ALCH-B04B	ALCH-B04B-TTP1-A	Primary Tumor	ALCH-B04B-TTP1-A-1-0-R-A681-41	mRNA-Seq
ALCH-ADX0	ALCH-ADX0-TTP1-A	Primary Tumor	ALCH-ADX0-TTP1-A-1-0-R-A588-41	mRNA-Seq
ALCH-B02J	ALCH-B02J-TTP1-A	Primary Tumor	ALCH-B02J-TTP1-A-1-0-R-A681-41	mRNA-Seq
ALCH-ADMU	ALCH-ADMU-TTP1-A	Primary Tumor	ALCH-ADMU-TTP1-A-1-0-R-A558-41	mRNA-Seq
ALCH-ABFV	ALCH-ABFV-TTP1-A	Primary Tumor	ALCH-ABFV-TTP1-A-1-0-R-A560-41	mRNA-Seq
ALCH-B049	ALCH-B049-TTP1-A	Primary Tumor	ALCH-B049-TTP1-A-1-0-R-A681-41	mRNA-Seq
ALCH-ABGT	ALCH-ABGT-TTP1-A	Primary Tumor	ALCH-ABGT-TTP1-A-3-0-R-A560-41	mRNA-Seq
ALCH-AC0Z	ALCH-AC0Z-TTR1-A	FFPE Recurrent	ALCH-AC0Z-TTR1-A-1-0-R-A588-41	mRNA-Seq
ALCH-B1V7	ALCH-B1V7-TTP1-A	FFPE Scrolls	ALCH-B1V7-TTP1-A-1-0-R-A778-41	mRNA-Seq
ALCH-AESL	ALCH-AESL-TTP1-A	Primary Tumor	ALCH-AESL-TTP1-A-1-0-R-A659-41	mRNA-Seq
ALCH-AEPW	ALCH-AEPW-TTP1-A	Primary Tumor	ALCH-AEPW-TTP1-A-1-0-R-A638-41	mRNA-Seq
ALCH-B0DV	ALCH-B0DV-TTP1-A	Primary Tumor	ALCH-B0DV-TTP1-A-1-0-R-A696-41	mRNA-Seq
ALCH-B04E	ALCH-B04E-TTP1-A	Primary Tumor	ALCH-B04E-TTP1-A-1-0-R-A681-41	mRNA-Seq
ALCH-ABNW	ALCH-ABNW-TTP1-A	Primary Tumor	ALCH-ABNW-TTP1-A-1-0-R-A560-41	mRNA-Seq
ALCH-AEKP	ALCH-AEKP-TTP1-A	Primary Tumor	ALCH-AEKP-TTP1-A-1-0-R-A638-41	mRNA-Seq
ALCH-AD8J	ALCH-AD8J-TTP1-A	FFPE Scrolls	ALCH-AD8J-TTP1-A-1-0-R-A556-41	mRNA-Seq
ALCH-AE7N	ALCH-AE7N-TTP1-A	Primary Tumor	ALCH-AE7N-TTP1-A-1-0-R-A607-41	mRNA-Seq
ALCH-B2DP	ALCH-B2DP-TTP1-A	Primary Tumor	ALCH-B2DP-TTP1-A-1-0-R-A77L-41	mRNA-Seq
