project_id	submitter_id	sample_name_list	sample_type_list	preservation_method_list	data_category	data_type	caller	call_format	experimental_strategy	md5	size	path
CTSP-DLBCL1	CTSP-ACY0	CTSP-ACY0-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	0b942995d10909988255888e1ee33664	31594243196	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY0/CTSP-ACY0-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY0	CTSP-ACY0-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	5184c38879f939457318ca66c04f9ae4	37491746626	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY0/CTSP-ACY0-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY1	CTSP-ACY1-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	9d09c38143afbd63050f6dd06ec7b786	27658830482	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY1/CTSP-ACY1-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY1	CTSP-ACY1-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	2758a9680b60e24a38d3612e118ce83b	31278510865	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY1/CTSP-ACY1-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY2	CTSP-ACY2-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	531202e79237a722bf7d1fc808b3be03	30118100533	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY2/CTSP-ACY2-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY2	CTSP-ACY2-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	3c0f13ea9b3b4542460664b9b02c5ce3	39569615510	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY2/CTSP-ACY2-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY3	CTSP-ACY3-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	0a6bd4b0a3ac2612f48324c52c128418	26869272504	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY3/CTSP-ACY3-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY3	CTSP-ACY3-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	93103ea314df2cdc309fb8b4c32621ee	32866658206	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY3/CTSP-ACY3-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY4	CTSP-ACY4-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	af200309673646ba5fcc91cc689fcde1	31262663179	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY4/CTSP-ACY4-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY4	CTSP-ACY4-TTP1-B	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	98b2c4c23e6ed879dc0b1116bab455b2	41810291576	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY4/CTSP-ACY4-TTP1-B.wxs.bam
